,weighted columns
703,2562.9991
704,218.2502
705,847.8915999999999
706,131.1729
707,1163.4689000000003
708,1553.8395000000003
709,89.0932
710,4130.857499999999
711,533.5774
712,446.4984999999999
713,347.36420000000004
714,1381.6113
715,3567.1269
716,1879.1617
717,1863.2650000000003
718,7528.714999999998
719,13959.220099999982
720,529.5886
721,753.9063
722,876.0291000000001
723,2716.378500000001
724,626.7004000000001
725,562.5707
726,2166.5033
727,1820.2004000000002
728,881.9295999999999
729,4796.7425
730,1070.3292000000001
731,957.1863000000001
732,804.8919999999999
733,231.2489
734,18.0153
735,2836.2321000000006
736,2361.6130000000003
737,1926.1651000000006
738,1086.2063
739,283.2837999999999
740,389.40749999999997
741,1920.129
742,174.201
743,3096.5454999999993
744,1138.2873000000002
745,1916.0810000000001
746,4311.9155999999975
747,1525.6671999999996
748,526.5632
749,845.9039
750,774.9288000000001
751,556.6092000000001
752,674.702
753,1182.3136000000002
754,466.5726999999999
755,222.2404
756,1009.094
757,3569.8807000000015
758,4838.4766
759,1607.7281
760,252.2664
761,1182.3333
762,774.8197
763,18.0153
764,2412.5009999999997
765,1403.6022000000003
766,3157.5622000000003
767,1024.082
768,889.9766000000002
769,131.1729
770,1659.9069000000009
771,4832.543699999999
772,165.1891
773,18.0153
774,2070.7248000000004
